Time	Open	High	Low	Close	Volume
2010-02-15 00:00:00	1.0759	1.08025	1.07535	1.07755	201052	22
2010-02-16 00:00:00	1.07755	1.07885	1.0652	1.0661	342474	21
2010-02-17 00:00:00	1.0661	1.07985	1.06465	1.0775	383091	19
2010-02-18 00:00:00	1.0775	1.089	1.0748	1.0873	318891	16
2010-02-19 00:00:00	1.0873	1.0898	1.07495	1.0755	289126	21
2010-02-21 00:00:00	1.07425	1.0772	1.07355	1.07485	9615	49
2010-02-22 00:00:00	1.07485	1.0788	1.07385	1.07535	334247	22
2010-02-23 00:00:00	1.0753	1.0848	1.0715	1.0824	283756	24
2010-02-24 00:00:00	1.0824	1.08425	1.0739	1.0809	295748	22
2010-02-25 00:00:00	1.0809	1.0878	1.07835	1.0811	363118	20
2010-02-26 00:00:00	1.08115	1.0812	1.0694	1.07305	345622	19
2010-02-28 00:00:00	1.07385	1.07465	1.0728	1.07305	12046	51
2010-03-01 00:00:00	1.07305	1.08705	1.07195	1.0793	477613	22
2010-03-02 00:00:00	1.0793	1.08885	1.0742	1.07435	416143	19
2010-03-03 00:00:00	1.0743	1.07635	1.06485	1.0676	389777	15
2010-03-04 00:00:00	1.0676	1.0795	1.06685	1.0769	402178	20
2010-03-05 00:00:00	1.0769	1.08095	1.07345	1.07385	308667	18
2010-03-07 00:00:00	1.07305	1.07395	1.07225	1.073	16286	42
2010-03-08 00:00:00	1.07305	1.07485	1.06755	1.0739	474463	17
2010-03-09 00:00:00	1.0739	1.0804	1.0726	1.07445	497043	16
2010-03-10 00:00:00	1.07445	1.0794	1.06845	1.0706	396238	20
2010-03-11 00:00:00	1.0706	1.07305	1.06775	1.0683	371249	18
2010-03-12 00:00:00	1.0683	1.06955	1.0575	1.0576	402322	19
2010-03-14 00:00:00	1.05716	1.05895	1.05685	1.058	20407	19
2010-03-15 00:00:00	1.058	1.0642	1.0579	1.0618	392473	20
2010-03-16 00:00:00	1.06175	1.06265	1.0533	1.0551	464606	24
2010-03-17 00:00:00	1.0551	1.0565	1.05065	1.0542	400176	12
2010-03-18 00:00:00	1.05425	1.06465	1.0533	1.05745	404225	21
2010-03-19 00:00:00	1.0574	1.0635	1.0539	1.0613	393533	19
2010-03-21 00:00:00	1.06075	1.06186	1.0597	1.0612	20061	16
2010-03-22 00:00:00	1.06115	1.0661	1.0562	1.0575	442412	13
2010-03-23 00:00:00	1.0575	1.0638	1.05465	1.05705	498470	21
